Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18419,221028.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,125.5,1506.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (300)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1050.1,12601.20,USD,,"Data transfer out to internet (10000 GB per month), Data transfer out to origin (10000 GB per month), Number of requests (HTTPS) (100000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,115,1380.00,USD,,S3 Standard storage (5000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,VPN Connection,0,275,3300.00,USD,,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,32.85,394.20,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,2952.85,35434.20,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1438.1,17257.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.12xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1438.1,17257.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.12xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS Custom for SQL Server,0,1752,21024.00,USD,,"Storage for each RDS Custom for SQL Server instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (db.m5.2xlarge), Number of RDS Custom for SQL Server instances (1), Utilization (On-Demand only) (100 %Utilized/Month), Database edition (Developer), Deployment option (Multi-AZ), License (Customer-provided), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,30,360.00,USD,,Number of Metrics (includes detailed and custom metrics) (100)
My Estimate,US East (Ohio),,Amazon Route 53,0,125.5,1506.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (300)"
My Estimate,US East (Ohio),,Amazon CloudFront,0,1050.1,12601.20,USD,,"Data transfer out to internet (10000 GB per month), Data transfer out to origin (10000 GB per month), Number of requests (HTTPS) (100000 per month)"
My Estimate,US East (Ohio),,S3 Standard,0,115,1380.00,USD,,S3 Standard storage (5000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (Ohio),,VPN Connection,0,275,3300.00,USD,,Working days per month (22)
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,32.85,394.20,USD,,Number of NAT Gateways (1)
My Estimate,US East (Ohio),,Application Load Balancer,0,2952.85,35434.20,USD,,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),,Amazon EC2 ,0,1438.1,17257.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.12xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon EC2 ,0,1438.1,17257.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.12xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon RDS Custom for SQL Server,0,1752,21024.00,USD,,"Storage for each RDS Custom for SQL Server instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (db.m5.2xlarge), Number of RDS Custom for SQL Server instances (1), Utilization (On-Demand only) (100 %Utilized/Month), Database edition (Developer), Deployment option (Multi-AZ), License (Customer-provided), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,Amazon CloudWatch,0,30,360.00,USD,,Number of Metrics (includes detailed and custom metrics) (100)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
